"URL A","URL B","Similarity","Class"
"/himchystka-avto-cherkasy","/dezinfektsiya-prymishchen-cherkasy","7.0%","OK"
"/dezinfektsiya-prymishchen-cherkasy","/myttya-fasadiv-cherkasy","7.0%","OK"
"/pidtrymuyuche-prybyrannya-kvartyr-cherkasy","/myttya-fasadiv-cherkasy","6.9%","OK"
"/prybyrannya-pislya-pozhezhi-cherkasy","/myttya-vikon-cherkasy","6.9%","OK"
"/prybyrannya-pislya-pozhezhi-cherkasy","/myttya-plytky-cherkasy","6.9%","OK"
"/generalne-prybyrannya-kuhni-cherkasy","/himchystka-dyvana-cherkasy","6.8%","OK"
"/generalne-prybyrannya-cherkasy","/prybyrannya-pislya-potopu-cherkasy","6.7%","OK"
"/pidtrymuyuche-prybyrannya-kvartyr-cherkasy","/himchystka-kylymiv-cherkasy","6.6%","OK"
"/prybyrannya-pislya-pozhezhi-cherkasy","/myttya-fasadiv-cherkasy","6.6%","OK"
"/myttya-vikon-cherkasy","/himchystka-kylymiv-cherkasy","6.6%","OK"
"/myttya-vikon-cherkasy","/myttya-plytky-cherkasy","6.6%","OK"
"/himchystka-kylymiv-cherkasy","/myttya-plytky-cherkasy","6.6%","OK"
"/prybyrannya-kvartyr-cherkasy","/generalne-prybyrannya-cherkasy","6.5%","OK"
"/generalne-prybyrannya-cherkasy","/prybyrannya-budynkiv-cherkasy","6.5%","OK"
"/pidtrymuyuche-prybyrannya-kvartyr-cherkasy","/himchystka-matratsa-cherkasy","6.5%","OK"
"/generalne-prybyrannya-kvartyry-cherkasy","/prybyrannya-budynkiv-cherkasy","6.5%","OK"
"/generalne-prybyrannya-kuhni-cherkasy","/himchystka-matratsa-cherkasy","6.5%","OK"
"/generalne-prybyrannya-cherkasy","/prybyrannya-prylegloyi-terytoriyi-cherkasy","6.4%","OK"
"/pidtrymuyuche-prybyrannya-kvartyr-cherkasy","/himchystka-dyvana-cherkasy","6.4%","OK"
"/pidtrymuyuche-prybyrannya-kvartyr-cherkasy","/prybyrannya-pislya-remontu-cherkasy","6.3%","OK"
"/generalne-prybyrannya-kuhni-cherkasy","/prybyrannya-pislya-remontu-cherkasy","6.3%","OK"
"/prybyrannya-pislya-pozhezhi-cherkasy","/himchystka-dyvana-cherkasy","6.3%","OK"
"/prybyrannya-budynkiv-cherkasy","/himchystka-krisel-cherkasy","6.3%","OK"
"/himchystka-matratsa-cherkasy","/himchystka-avto-cherkasy","6.3%","OK"
"/myttya-vikon-cherkasy","/myttya-fasadiv-cherkasy","6.3%","OK"
"/prybyrannya-kvartyr-cherkasy","/generalne-prybyrannya-kuhni-cherkasy","6.1%","OK"
"/generalne-prybyrannya-kuhni-cherkasy","/dezinfektsiya-prymishchen-cherkasy","6.1%","OK"
"/prybyrannya-pislya-remontu-cherkasy","/prybyrannya-komertsiynykh-prymishchen-cherkasy","6.1%","OK"
"/dezinfektsiya-prymishchen-cherkasy","/myttya-plytky-cherkasy","6.1%","OK"
"/generalne-prybyrannya-cherkasy","/myttya-plytky-cherkasy","6.0%","OK"
"/prybyrannya-pislya-remontu-cherkasy","/prybyrannya-pislya-potopu-cherkasy","6.0%","OK"
"/himchystka-dyvana-cherkasy","/himchystka-avto-cherkasy","5.9%","OK"
"/himchystka-matratsa-cherkasy","/dezinfektsiya-prymishchen-cherkasy","5.9%","OK"
"/generalne-prybyrannya-cherkasy","/myttya-fasadiv-cherkasy","5.7%","OK"
"/himchystka-mebliv-cherkasy","/himchystka-kylymiv-cherkasy","5.7%","OK"
"/myttya-vikon-cherkasy","/dezinfektsiya-prymishchen-cherkasy","5.7%","OK"
"/pidtrymuyuche-prybyrannya-kvartyr-cherkasy","/dezinfektsiya-prymishchen-cherkasy","5.6%","OK"
"/generalne-prybyrannya-kvartyry-cherkasy","/myttya-vikon-cherkasy","5.6%","OK"
"/generalne-prybyrannya-kuhni-cherkasy","/himchystka-avto-cherkasy","5.6%","OK"
"/prybyrannya-pislya-remontu-cherkasy","/myttya-plytky-cherkasy","5.6%","OK"
"/prybyrannya-pislya-remontu-cherkasy","/prybyrannya-prylegloyi-terytoriyi-cherkasy","5.5%","OK"
"/prybyrannya-pislya-remontu-cherkasy","/myttya-fasadiv-cherkasy","5.5%","OK"
"/generalne-prybyrannya-cherkasy","/myttya-vikon-cherkasy","5.4%","OK"
"/generalne-prybyrannya-kvartyry-cherkasy","/prybyrannya-pislya-remontu-cherkasy","5.4%","OK"
"/generalne-prybyrannya-kvartyry-cherkasy","/myttya-plytky-cherkasy","5.4%","OK"
"/himchystka-dyvana-cherkasy","/dezinfektsiya-prymishchen-cherkasy","5.4%","OK"
"/himchystka-kylymiv-cherkasy","/himchystka-kovrolinu-cherkasy","5.4%","OK"
"/generalne-prybyrannya-kvartyry-cherkasy","/prybyrannya-pislya-pozhezhi-cherkasy","5.3%","OK"
"/generalne-prybyrannya-kvartyry-cherkasy","/himchystka-kylymiv-cherkasy","5.3%","OK"
"/himchystka-avto-cherkasy","/myttya-vikon-cherkasy","5.3%","OK"
"/himchystka-avto-cherkasy","/myttya-plytky-cherkasy","5.3%","OK"
"/generalne-prybyrannya-cherkasy","/prybyrannya-pislya-remontu-cherkasy","5.2%","OK"
"/generalne-prybyrannya-kvartyry-cherkasy","/himchystka-matratsa-cherkasy","5.2%","OK"
"/generalne-prybyrannya-kvartyry-cherkasy","/myttya-fasadiv-cherkasy","5.2%","OK"
"/prybyrannya-prylegloyi-terytoriyi-cherkasy","/himchystka-kovrolinu-cherkasy","5.2%","OK"
"/himchystka-krisel-cherkasy","/himchystka-kovrolinu-cherkasy","5.2%","OK"
"/prybyrannya-kvartyr-cherkasy","/prybyrannya-komertsiynykh-prymishchen-cherkasy","5.1%","OK"
"/generalne-prybyrannya-cherkasy","/prybyrannya-pislya-pozhezhi-cherkasy","5.1%","OK"
"/pidtrymuyuche-prybyrannya-kvartyr-cherkasy","/himchystka-avto-cherkasy","5.1%","OK"
"/generalne-prybyrannya-kvartyry-cherkasy","/himchystka-dyvana-cherkasy","5.0%","OK"
"/himchystka-mebliv-cherkasy","/prybyrannya-komertsiynykh-prymishchen-cherkasy","5.0%","OK"
"/himchystka-dyvana-cherkasy","/myttya-vikon-cherkasy","5.0%","OK"
"/himchystka-matratsa-cherkasy","/myttya-vikon-cherkasy","5.0%","OK"
"/prybyrannya-kvartyr-cherkasy","/prybyrannya-pislya-potopu-cherkasy","4.9%","OK"
"/himchystka-dyvana-cherkasy","/myttya-plytky-cherkasy","4.9%","OK"
"/himchystka-matratsa-cherkasy","/myttya-plytky-cherkasy","4.9%","OK"
"/himchystka-avto-cherkasy","/myttya-fasadiv-cherkasy","4.9%","OK"
"/prybyrannya-kvartyr-cherkasy","/prybyrannya-prylegloyi-terytoriyi-cherkasy","4.8%","OK"
